x_m,y_m,z_m,FOF,HF,Temperature_K,TempGrad_Kpm,Vx,Vy,Vz,Vmag,x_mm,y_mm,z_mm,power_W,kNN,cond_A,grad_valid,Q,Q_pos_flag,vorticity_mag,strain2,is_interface,is_heated,is_interface_heated,is_slice_near_symmetry,slice_y_threshold_m
0.0051,1.36498e-09,0.0003,0.9999730000000001,0.0,2106.73,2799720.0,0.0109873,0.00561044,-0.020386,0.0238283,5.1000000000000005,1.36498e-06,0.3,350,25,3.718695706417829,1,21730.51373893203,1,1206.8591481109645,684793.4742116974,0,0,0,1,2e-05
0.0051,3.55865e-09,0.0002,0.999929,0.0,1982.61,2152540.0,0.0197287,0.00616339,-0.0153262,0.0257313,5.1000000000000005,3.55865e-06,0.2,350,25,3.403659880156582,1,11959.11888808517,1,563.3920318068499,134787.05297555492,0,0,0,1,2e-05
0.0051,4.45584e-09,0.0001,0.999911,0.0,1861.95,1816280.0,0.013192,0.00328477,-0.00850164,0.0160342,5.1000000000000005,4.45584e-06,0.1,350,25,2.507684348624858,1,-3563.491921235054,0,111.03890998640095,13291.803607954134,0,0,0,1,2e-05
0.00510058,0.000199419,8.18411e-07,0.999755,0.0,1679.02,1603990.0,0.00406224,0.00176181,-0.00206239,0.00488459,5.100580000000001,0.19941899999999999,0.000818411,350,25,3.8236102891313672,1,-360.3245965098545,0,48.61891371159856,1902.5485782676421,0,0,0,0,2e-05
0.00510058,0.000199419,8.18414e-07,0.999755,0.0,1679.0199999999998,1603990.0,0.00406224,0.00176181,-0.00206239,0.00488459,5.100580000000001,0.19941899999999999,0.0008184140000000001,350,25,3.8236105061310464,1,-360.32458533030285,0,48.61891436212015,1902.5485875361924,0,0,0,0,2e-05
0.00510096,0.000200657,0.000406965,0.987394,0.0,1980.9000000000003,2204770.0,0.0451576,0.0172092,-0.0214534,0.0528736,5.10096,0.200657,0.406965,350,25,6.205069201246976,1,-198182.10285840632,0,943.4252472242665,841389.8042668968,1,0,0,0,2e-05
0.00510155,0.000415669,0.000325762,0.883757,0.0,1787.57,1322330.0,0.06063369999999999,0.025747499999999996,-0.049218000000000005,0.0822301,5.10155,0.415669,0.325762,350,25,1.9682714848594292,1,-53005.61836651056,0,426.4480832603871,196940.2205912501,1,0,0,0,2e-05
0.00510314,0.000104161,0.000422901,1.0,0.0,2096.76,2846420.0,0.0192078,0.00857858,-0.0212512,0.029902300000000003,5.10314,0.10416099999999999,0.42290099999999997,350,25,2.903935043166804,1,-180226.0659035775,0,1347.9466670630827,1268932.2404303916,0,0,0,0,2e-05
0.00510455,1.36411e-05,4.54695e-06,0.999908,0.0,1734.17,1732960.0,0.00418318,0.0012543,-0.00353568,0.00561901,5.104550000000001,0.0136411,0.00454695,350,25,1.4812020254769864,1,-2053.5317536412244,0,15.046075200182557,4220.255696747223,0,0,0,1,2e-05
0.00510455,1.36411e-05,4.54696e-06,0.999908,0.0,1734.17,1732960.0,0.00418318,0.0012543,-0.00353568,0.00561901,5.104550000000001,0.0136411,0.00454696,350,25,1.4812021524959487,1,-2053.5318651333687,0,15.046075576241693,4220.255925389726,0,0,0,1,2e-05
0.00510587,0.000479955,0.000278899,0.806406,0.0,1706.26,1180130.0,0.0341639,0.013253,-0.0194262,0.0414752,5.10587,0.479955,0.278899,350,25,1.5381713311211243,1,-8665.970185032653,0,406.66682167527887,100020.89229580182,1,0,0,0,2e-05
0.00510757,0.000391447,0.000113353,0.999739,0.0,1644.4742857142858,1491900.0,0.00962789,0.00197385,-0.00686,0.0119855,5.10757,0.391447,0.113353,350,25,3.212389441317881,1,-10061.269452453169,0,305.24076196125225,66708.50028624927,0,0,0,0,2e-05
0.00510909,0.000485926,0.000209305,0.9015130000000001,0.0,1656.15,1308000.0,0.0190201,0.00725108,-0.0110267,0.0231502,5.10909,0.485926,0.209305,350,25,1.4278994670197314,1,-17393.93992307059,0,407.54696701996056,117835.14500972559,1,0,0,0,2e-05
0.00513059,9.64598e-05,-6.94e-05,0.99991,0.0,1583.08,1866130.0,0.000609032,0.000240771,-0.000609032,0.000894321,5.13059,0.0964598,-0.0694,350,25,1.529118540506302,1,-629.7380312727713,0,38.36818304317738,1995.5347975629247,0,0,0,0,2e-05
0.00513567,0.000277457,4.33194e-05,0.9996240000000001,0.0,1617.0,1663300.0,0.00204127,0.000765568,-0.00154002,0.00266918,5.13567,0.277457,0.043319399999999994,350,25,8.37344975875047,1,4101.972586658903,1,379.20704346325016,63695.04573275183,0,0,0,0,2e-05
0.00515,5e-05,-5e-05,0.99994,0.0,1593.78,1884550.0,0.00038979899999999997,0.000240771,-0.00063057,0.000779443,5.15,0.05,-0.05,350,25,1.6711003384753937,1,-1592.6000616385882,0,36.36061104598649,3846.247141095934,0,0,0,0,2e-05
0.00515,0.00015,-5e-05,0.999875,0.0,1546.68,1653690.0,0.000414133,0.000120386,-0.000293747,0.00052181,5.15,0.15,-0.05,350,25,2.55734221485282,1,-596.310955391489,0,54.59852157586821,2683.1211899182513,0,0,0,0,2e-05
0.00515,0.00035,5e-05,0.9997909999999999,0.0,1798.75,1587960.0,0.0240844,0.00179419,-0.00565474,0.0248043,5.15,0.35,0.05,350,25,5.0223453516115,1,-10644.602321166225,0,608.5075626892153,206429.9315673171,0,0,0,0,2e-05
0.00515,0.00045,0.00015,0.995776,0.0,1554.74,1785560.0,0.00193815,0.000624577,-0.00131357,0.00242322,5.15,0.45,0.15,350,25,2.1946348373468707,1,-24065.28422446114,0,513.3460850731236,179892.6699788736,0,0,0,0,2e-05
0.00515934,0.000232139,-4.72e-05,0.9998150000000001,0.0,1758.9900000000002,1710780.0,0.006442619999999999,0.00235586,-5.250000000000001e-05,0.006860050000000001,5.15934,0.23213899999999998,-0.0472,350,25,2.6420523191586236,1,-203.77337689858405,0,75.41827577162803,3251.5049139798357,0,0,0,0,2e-05
0.00519459,0.00040979,8.52517e-05,0.9998354285714285,0.0,1709.9,1575320.0,0.0206005,0.00086755,-0.00833213,0.0222387,5.19459,0.40979,0.0852517,350,25,3.3819279516807907,1,-4393.261176984261,0,170.5479431375525,23329.82280819344,0,0,0,0,2e-05
0.00519594,0.000352667,0.00035,0.552523,0.0,1976.11,2009660.0,0.083996,0.0617481,-0.0410401,0.11203800000000001,5.195939999999999,0.35266699999999995,0.35,350,25,5.656775782332911,1,-111593.52906509629,0,1779.2716335029372,1806090.831024298,1,0,0,0,2e-05
