kNN,region,threshold,threshold_value,phi_350,phi_400,ratio_350_400,diff_350_400,direction
18,heated,Q>posP50,36155.62300800126,0.025,0.1111111111111111,0.22500000000000003,-0.08611111111111111,350<400
18,heated,Q>posP75,82319.3115940566,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
18,heated,Q>posP90,266872.3940528722,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
18,interface,Q>0,0.0,0.1897810218978102,0.0390625,4.858394160583941,0.1507185218978102,350>400
18,interface,Q>posP50,23948.78328937789,0.0948905109489051,0.03125,3.0364963503649633,0.0636405109489051,350>400
18,interface,Q>posP75,63290.65229364335,0.0364963503649635,0.0234375,1.557177615571776,0.0130588503649635,350>400
18,interface,Q>posP90,165126.6815627995,0.0072992700729927005,0.0234375,0.31143552311435524,-0.0161382299270073,350<400
18,interface_heated,Q>0,0.0,0.13513513513513514,0.11538461538461539,1.1711711711711712,0.01975051975051975,350>400
18,interface_heated,Q>posP50,36155.62300800126,0.02702702702702703,0.11538461538461539,0.23423423423423423,-0.08835758835758836,350<400
18,interface_heated,Q>posP75,82319.3115940566,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
18,interface_heated,Q>posP90,266872.3940528722,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
19,all,Q>0,0.0,0.18811881188118812,0.08070175438596491,2.331037451571244,0.1074170574952232,350>400
19,all,Q>posP50,5703.86504066216,0.10561056105610561,0.021052631578947368,5.016501650165017,0.08455792947715825,350>400
19,all,Q>posP75,27169.348425347805,0.0462046204620462,0.010526315789473684,4.3894389438943895,0.03567830467257252,350>400
19,all,Q>posP90,66470.24641593825,0.013201320132013201,0.010526315789473684,1.2541254125412542,0.0026750043425395175,350>400
19,heated,Q>0,0.0,0.125,0.1111111111111111,1.125,0.013888888888888895,350>400
19,heated,Q>posP50,42119.14564077824,0.025,0.1111111111111111,0.22500000000000003,-0.08611111111111111,350<400
19,heated,Q>posP75,83373.40384055776,0.0,0.1111111111111111,0.0,-0.1111111111111111,350<400
19,heated,Q>posP90,215029.935481485,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
19,interface,Q>0,0.0,0.2116788321167883,0.03125,6.773722627737226,0.1804288321167883,350>400
19,interface,Q>posP50,25163.386352105947,0.0948905109489051,0.0234375,4.0486618004866175,0.0714530109489051,350>400
19,interface,Q>posP75,58938.56095837765,0.0364963503649635,0.0234375,1.557177615571776,0.0130588503649635,350>400
19,interface,Q>posP90,186010.5516953499,0.0072992700729927005,0.0234375,0.31143552311435524,-0.0161382299270073,350<400
19,interface_heated,Q>0,0.0,0.13513513513513514,0.11538461538461539,1.1711711711711712,0.01975051975051975,350>400
19,interface_heated,Q>posP50,42119.14564077824,0.02702702702702703,0.11538461538461539,0.23423423423423423,-0.08835758835758836,350<400
19,interface_heated,Q>posP75,83373.40384055776,0.0,0.11538461538461539,0.0,-0.11538461538461539,350<400
19,interface_heated,Q>posP90,215029.935481485,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
20,all,Q>0,0.0,0.20462046204620463,0.07368421052631578,2.7769919849127773,0.13093625151988886,350>400
20,all,Q>posP50,4722.6661159845535,0.10561056105610561,0.02456140350877193,4.2998585572843,0.08104915754733369,350>400
20,all,Q>posP75,21826.066415726484,0.056105610561056105,0.007017543859649123,7.995049504950495,0.04908806670140698,350>400
20,all,Q>posP90,55534.14233418866,0.0165016501650165,0.007017543859649123,2.3514851485148514,0.009484106305367376,350>400
20,heated,Q>0,0.0,0.125,0.07407407407407407,1.6875,0.05092592592592593,350>400
20,heated,Q>posP50,34666.18729010965,0.025,0.07407407407407407,0.3375,-0.04907407407407407,350<400
20,heated,Q>posP75,86696.56819821445,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
20,heated,Q>posP90,219968.95619107923,0.0,0.07407407407407407,0.0,-0.07407407407407407,350<400
20,interface,Q>0,0.0,0.2116788321167883,0.0234375,9.031630170316301,0.1882413321167883,350>400
20,interface,Q>posP50,21826.066415726484,0.10218978102189781,0.015625,6.54014598540146,0.08656478102189781,350>400
20,interface,Q>posP75,61991.850567477784,0.029197080291970802,0.015625,1.8686131386861313,0.013572080291970802,350>400
20,interface,Q>posP90,141376.1887086212,0.0072992700729927005,0.015625,0.46715328467153283,-0.0083257299270073,350<400
20,interface_heated,Q>0,0.0,0.13513513513513514,0.07692307692307693,1.7567567567567568,0.058212058212058215,350>400
20,interface_heated,Q>posP50,34666.18729010965,0.02702702702702703,0.07692307692307693,0.35135135135135137,-0.0498960498960499,350<400
20,interface_heated,Q>posP75,86696.56819821445,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
20,interface_heated,Q>posP90,219968.95619107923,0.0,0.07692307692307693,0.0,-0.07692307692307693,350<400
21,all,Q>0,0.0,0.18032786885245902,0.07719298245614035,2.3360655737704916,0.10313488639631867,350>400
21,all,Q>posP50,5384.9623751078325,0.10491803278688525,0.021052631578947368,4.983606557377049,0.08386540120793788,350>400
21,all,Q>posP75,19397.980667386833,0.06885245901639345,0.007017543859649123,9.811475409836065,0.06183491515674432,350>400
